,tract,count_311,count_crime,homeless_2016,homeless_2017,count_shelter,count_population
906,273200,145,8,95,146,0,3711
907,273300,25,11,128,253,2,3695
908,273402,52,19,178,203,0,3172
909,273502,33,15,116,122,0,2884
910,273600,40,0,32,72,0,2413
911,273700,5,0,20,8,0,2801
912,273800,9,1,27,43,0,3107
913,273902,95,5,50,115,0,4227
914,274100,58,8,123,30,0,4418
915,274202,17,0,52,25,0,4337
916,275101,2,0,17,18,0,1177
917,275102,2,0,8,28,0,4226
918,275200,0,0,38,4,0,3887
919,275302,15,1,15,21,0,4775
920,275311,22,0,23,20,0,4993
921,275400,9,0,19,23,0,3349
922,275500,3,1,29,16,0,5207
923,275602,5,1,0,26,0,6470
924,275603,1,0,30,44,0,2711
925,276000,7,1,2,15,0,5396
926,276100,5,1,21,31,0,5592
927,276400,1,0,7,4,0,4009
928,276500,2,0,19,24,0,5063
929,276601,5,1,5,15,0,3838
930,276603,7,0,9,27,0,5252
931,276604,2,0,4,23,0,3983
932,277000,3,0,29,8,0,5395
933,277100,13,0,8,36,0,3004
934,277200,23,0,11,33,0,2490
935,277400,12,11,349,421,0,1533
936,278001,11,1,36,36,0,2458
937,278102,5,2,8,13,0,3158
938,291110,3,1,0,5,0,3510
939,291120,7,3,0,26,0,2210
940,291130,11,0,2,5,0,3582
941,291210,31,0,0,8,0,4967
942,291220,0,0,5,8,0,3353
943,291300,17,0,55,65,0,2601
944,292000,14,0,57,21,0,6543
945,293201,1,2,0,10,0,6629
946,293202,2,3,13,15,0,6742
947,293301,0,0,4,0,0,2805
948,293302,9,1,47,0,0,4720
949,293304,7,6,12,29,0,4178
950,293306,2,1,6,0,0,2189
951,293307,7,0,12,11,0,2306
952,294110,5,2,86,1,0,4140
953,294120,6,1,8,24,0,2370
954,294200,3,3,35,13,0,4951
955,294301,1,0,10,12,0,2448
956,294302,7,0,47,10,0,4754
957,294410,7,6,17,43,0,4579
958,294421,5,5,39,28,0,2950
959,294510,0,1,2,15,0,4214
960,294520,5,2,0,37,0,3564
961,294610,8,1,16,9,0,4065
962,294620,12,0,0,68,0,4219
963,294701,48,21,54,102,2,3019
964,294810,1,0,38,25,0,3991
965,294820,9,2,23,26,0,3579
966,294830,17,5,49,94,0,3707
967,294900,2,0,1,3,0,3265
968,295103,5,2,6,25,0,4875
969,296210,6,1,29,14,0,3019
970,296220,7,3,76,41,0,4307
971,296300,11,0,20,43,0,4221
972,296401,1,2,0,2,0,3191
973,296402,2,0,6,9,0,3091
974,296500,10,3,36,16,0,3910
975,296600,25,11,23,174,3,5218
976,296901,3,3,0,0,0,4127
977,296902,3,1,56,78,1,3851
978,297000,1,0,9,0,0,5343
979,297110,118,5,61,88,1,4679
980,297120,2,2,45,22,0,3315
981,297201,8,3,27,4,0,3475
982,297202,1,3,4,0,0,3423
983,297300,0,0,7,0,0,2374
984,297400,0,0,7,5,0,3603
985,297500,1,0,4,8,0,5163
986,297601,1,3,5,5,0,2594
987,297602,4,0,0,2,0,3503
988,609900,0,0,44,23,1,2034
989,702901,6,1,35,31,0,8866
990,930401,0,0,5,2,0,2471
991,980008,8,1,16,4,0,145
992,980009,14,0,46,69,0,14
993,980010,1,2,10,1,0,164
994,980014,22,2,220,149,0,239
995,980015,2,2,21,24,0,554
996,980019,0,0,8,0,0,173
997,980020,0,0,23,0,0,0
998,980021,2,1,80,63,0,33
999,980022,0,0,0,0,0,4
1000,980023,0,0,25,0,0,8
1001,980024,150,5,78,254,0,186
1002,980026,0,0,13,0,0,20
1003,980028,9,4,24,36,0,4
1004,980031,13,4,24,10,0,1262
